,Label,Markers
1,adipocyte,"GPAM, ADIPOQ, ACACB, PCDH9, GHR, TRHDE, SORBS1, PLIN1, PDE3B, WDPCP"
2,ASPC,"NEGR1, PDGFRA, CXCL14, LAMA2, NOVA1, APOD, SCLK1, ABCA10, COL1A2, KAZN"
3,b_cell,"IGKC, MS4A1, BANK1, IGHG1, IGLC3, IGHGP, FCRL1, BCL11A, IGHA1, JCHAIN"
4,dendritic_cell,"HLA-DRB1, FLT3, HLA-DPB1, HLA-DRA, HLA_DQA1, IL1R2, HLA-DPA1, HLA-DQB1, CD74, RTN1"
5,endometrium,"KCNIP4, DPP6, PRLR, MEIS1, SYT1, AC012404.1, CNTN4, RORA, PAPPA, TSHZ2"
6,endothelial,"MECOM, PTRB, VWF, ANO2, BTNL9, LDB2, ADGRL4, PTPRM, JAM2, CADM2"
7,LEC,"MMRN1, CCL21, AL357507.1, PROX1, PPFIBP1, NRG3, RELN, STOX2, TFPI, LINC02147"
8,macrophage,"F13A1, MRC1, LGMN, FTL, CYBB, RBPJ, FRMD4B, SCN9A, CD163L1, IQGAP2"
9,mast_cell,"CPA3, KIT, TPSB2, NTM, TPSAB1, HGPD, MS4A2, SLC24A3, HDC, IL18R1"
10,mesothelium,"AP000561.1, AC005699.1, LINC02360, MSLN, KCTD8, PKHD1L1, COL8A1, LSAMP, PTPRQ, FAM155A"
11,monocyte,"VCAN, FCN1, SLC11A1, CSF3R, IL1B, KYNU, SAMSN1, CTSS, RNF144B, COTL1"
12,neutrophil,"CSF3R, EPHB1, SORL1, GLT1D1, KCNJ15,  SLC25A37, LUCAT1, CPPED1, LRRK2, MXD1"
13,nk_cell,"GNLY, CD247, SAMD3, NKG7, KLRD1, TXK, PYHIN1, CCL5, CCL4, KLRF1"
14,pericyte,"COL25A1, POSTN, DLC1, STEAP4, MYO1B, RGS5, EBF2, THSD7B, KCNAB1, RGS6"
15,SMC,"MYH11, TAGLN, ADGRL3, SORBS2, RCAN2, MYOCD, LMOD1, CARMN, CALD1, RGS6"
16,t_cell,"IL7R, THEMIS, CAMK4, BCL11B, ITK, ANK3, CD96, TC2N, SKAP1, CD2"
